Code,Year,Quarter,Roe,YOYNi,LiabilityTo,YOYEquity,YOYLiability
SZ.000501,2025,2,0.015027,0.070765,0.006416,-0.015133,-0.006981
SZ.000503,2025,2,-0.073074,-0.357779,0.003545,-0.030722,0.245127
SZ.000504,2025,2,-0.014805,-0.209275,0.005501,-0.060099,0.141643
SZ.000505,2025,2,0.005706,-0.324616,0.005325,0.002533,0.322579
SZ.000506,2025,2,0.078085,2.006112,0.005833,0.004675,-0.194256
SZ.000507,2025,2,0.027469,-0.027225,0.005546,-0.096068,0.046865
SZ.000509,2025,2,-0.020404,-0.978961,0.007448,-0.120584,0.054025
SZ.000510,2025,2,-0.052407,-0.124206,0.004889,0.027265,0.086173
SZ.000513,2025,2,0.093035,0.145067,0.003826,-0.017398,-0.156801
SZ.000514,2025,2,0.051883,5.563488,0.004298,0.031913,-0.231951
SZ.000516,2025,2,-0.0462,0.045938,0.006792,-0.06051,-0.056756
SZ.000517,2025,2,0.006245,-0.994871,0.005573,-0.269367,-0.673963
SZ.000518,2025,2,-0.027543,0.107355,0.00258,-0.231669,-0.083041
SZ.000519,2025,2,-0.003976,-2.091749,0.003399,-0.019376,0.113417
SZ.000520,2025,2,0.002678,1.082497,0.003249,-0.131937,0.069448
SZ.000521,2025,2,0.06806,0.008352,0.007621,0.040565,0.200521
SZ.000523,2025,2,0.016986,-0.088081,0.004001,0.317303,-0.240628
SZ.000524,2025,2,0.021874,0.185074,0.003903,0.062906,0.00768
SZ.000525,2025,2,-0.075341,-11.760666,0.006129,1.953774,-0.500033
SZ.000526,2025,2,0.255922,0.421139,0.007459,0.243812,0.064256
SZ.000528,2025,2,0.069041,0.133359,0.006166,0.04248,0.096548
SZ.000529,2025,2,0.023163,0.054551,0.00516,0.017464,0.052532
SZ.000530,2025,2,0.025239,0.041445,0.005665,0.022407,-0.088443
SZ.000531,2025,2,0.032426,1.355424,0.005859,0.014774,-0.114516
SZ.000532,2025,2,0.0243,-0.00479,0.003321,0.104612,-0.098838
SZ.000533,2025,2,0.04556,0.255287,0.006339,0.1275,0.029181
SZ.000534,2025,2,0.083569,0.118567,0.005938,0.302969,0.172437
SZ.000536,2025,2,-0.45045,0.154763,0.008398,-0.560672,-0.109875
SZ.000537,2025,2,0.031385,0.578518,0.007225,0.040123,0.168383
SZ.000538,2025,2,0.091696,0.142521,0.002573,0.026349,-0.062952
SZ.000539,2025,2,0.001417,-0.920916,0.008017,0.010777,0.116419
SZ.000541,2025,2,0.017302,-0.416341,0.003976,0.070688,-0.06226
SZ.000543,2025,2,0.067729,0.087681,0.006462,0.131105,0.025554
SZ.000544,2025,2,0.069974,-0.01147,0.007334,0.077837,0.092824
SZ.000545,2025,2,-0.176704,-8.318474,0.005486,-0.302082,0.011644
SZ.000546,2025,2,-0.011989,-1.441129,0.00198,-0.041063,0.012572
SZ.000547,2025,2,-0.075666,-0.070048,0.004741,-0.259546,0.048721
SZ.000548,2025,2,0.017614,-0.434753,0.001732,0.014265,-0.435205
SZ.000550,2025,2,0.065037,0.200881,0.006602,0.05483,0.031144
SZ.000551,2025,2,0.059278,0.076453,0.003774,0.158199,-0.13242
SZ.000552,2025,2,-0.010724,-1.20568,0.004829,0.017171,0.183772
SZ.000553,2025,2,-0.004241,0.910208,0.006271,-0.099008,-0.002315
SZ.000554,2025,2,0.08607,1.525498,0.003805,0.105424,0.281268
SZ.000555,2025,2,-0.017207,-0.271471,0.005928,-0.086253,0.354337
SZ.000557,2025,2,0.047315,0.887008,0.000884,0.056058,0.470546
SZ.000558,2025,2,0.00697,0.236722,0.004712,-0.018409,0.635096
SZ.000559,2025,2,0.058588,0.091421,0.006165,0.028037,0.222288
SZ.000560,2025,2,0.004086,0.647388,0.00644,-0.010172,-0.249556
SZ.000561,2025,2,-0.036405,-1.960735,0.005381,0.712033,0.756584
SZ.000563,2025,2,0.040039,0.057447,0.003149,0.053982,0.106845
SZ.000564,2025,2,0.000337,-0.925275,0.00514,-0.035822,0.222443
SZ.000565,2025,2,0.015417,-0.042962,0.002126,-0.002504,0.408318
SZ.000566,2025,2,-0.355083,0.191874,0.009301,-0.803297,0.024901
SZ.000567,2025,2,0.027769,-0.60869,0.003738,0.018808,-0.25864
SZ.000568,2025,2,0.163164,-0.045064,0.003349,0.113598,-0.169002
SZ.000570,2025,2,0.021403,0.426661,0.003486,0.037385,0.017942
SZ.000571,2025,2,-0.392058,-4.913831,0.006374,-0.515799,0.016849
SZ.000572,2025,2,-0.043347,0.263434,0.005102,-0.036259,-0.439856
SZ.000573,2025,2,0.062444,15.147957,0.002775,0.019867,0.050068
SZ.000576,2025,2,0.020919,0.428618,0.001273,-0.005066,0.087949
SZ.000581,2025,2,0.035492,-0.287984,0.002785,0.017933,0.031441
SZ.000582,2025,2,0.029243,-0.137541,0.004347,0.075714,0.002261
SZ.000586,2025,2,0.026125,2.624305,0.004378,0.015756,0.3415
SZ.000589,2025,2,0.028356,-0.41371,0.005085,0.019955,-0.053082
SZ.000590,2025,2,-0.029119,0.258325,0.004214,-0.170274,0.004615
SZ.000591,2025,2,0.028555,-0.166749,0.005567,0.030462,0.219239
SZ.000592,2025,2,0.007964,-1.020391,0.004128,-0.086337,-0.134535
SZ.000593,2025,2,0.028676,-0.242446,0.005011,0.014657,-0.160923
SZ.000595,2025,2,0.189594,3.14141,0.005802,-0.154383,0.163507
SZ.000596,2025,2,0.146992,0.026808,0.003155,0.10752,-0.054821
SZ.000597,2025,2,0.024277,-0.255442,0.005945,0.058065,-0.137919
SZ.000598,2025,2,0.052916,0.04514,0.005858,0.094075,0.052697
SZ.000599,2025,2,-0.12437,-1.300128,0.008333,-0.328212,0.028645
SZ.000600,2025,2,0.079432,2.328869,0.00584,0.199078,-0.005117
SZ.000601,2025,2,0.022826,-0.389504,0.00658,-0.079951,0.060898
SZ.000603,2025,2,0.023079,-0.0332,0.004746,-0.042847,0.207284
SZ.000605,2025,2,0.006624,-0.167014,0.006591,-0.00012,-0.027257
SZ.000607,2025,2,-0.033644,-3.275677,0.004967,-0.049696,0.060784
SZ.000608,2025,2,-0.017119,-2.259904,0.004188,-0.074498,-0.076459
SZ.000609,2025,2,-0.852226,-0.135274,0.009697,-0.817691,0.086211
SZ.000610,2025,2,-0.268294,0.107933,0.009234,-0.583037,-0.009247
SZ.000612,2025,2,0.083332,0.490562,0.00188,0.104299,-0.105682
SZ.000615,2025,2,0.0,-0.68099,0.010094,-5.299998,-0.012703
