ts_code,symbol,name,area,industry,market,cnspell,list_date,act_name,act_ent_type,list_status
000100.SZ,000100,TCL科技,广东,元器件,主板,TCLKJ,20040130,无实际控制人,其他,L
000151.SZ,000151,中成股份,北京,商贸代理,主板,ZCGF,20000906,国务院国有资产监督管理委员会,中央企业,L
000153.SZ,000153,丰原药业,安徽,化学制药,主板,FYYY,20000920,李荣杰,民营企业,L
000155.SZ,000155,川能动力,四川,新型电力,主板,CNDL,20000926,四川省政府国有资产监督管理委员会,地方国有企业,L
000156.SZ,000156,华数传媒,浙江,影视音像,主板,HSCM,20000906,杭州市财政局,地方国有企业,L
000157.SZ,000157,中联重科,湖南,工程机械,主板,ZLZK,20001012,无实际控制人,其他,L
000158.SZ,000158,常山北明,河北,软件服务,主板,CSBM,20000724,石家庄市人民政府国有资产监督管理委员会,地方国有企业,L
000159.SZ,000159,国际实业,新疆,石油贸易,主板,GJSY,20000926,冯现啁,民营企业,L
000301.SZ,000301,东方盛虹,江苏,化纤,主板,DFSH,20000529,缪汉根,民营企业,L
000400.SZ,000400,许继电气,河南,电气设备,主板,XJDQ,19970418,国务院国有资产监督管理委员会,中央企业,L
000401.SZ,000401,金隅冀东,河北,水泥,主板,JYJD,19960614,北京市人民政府国有资产监督管理委员会,地方国有企业,L
000402.SZ,000402,金融街,北京,全国地产,主板,JRJ,19960626,北京市西城区人民政府国有资产监督管理委员会,地方国有企业,L
000403.SZ,000403,派林生物,山西,生物制药,主板,PLSW,19960628,陕西省人民政府国有资产监督管理委员会,地方国有企业,L
000404.SZ,000404,长虹华意,江西,家用电器,主板,CHHY,19960619,绵阳市国有资产监督管理委员会,地方国有企业,L
000407.SZ,000407,胜利股份,山东,供气供热,主板,SLGF,19960703,许铁良,外资,L
000408.SZ,000408,藏格矿业,青海,农药化肥,主板,ZGKY,19960628,上杭县财政局,地方国有企业,L
000409.SZ,000409,云鼎科技,山东,软件服务,主板,YDKJ,19960627,山东省人民政府,地方国有企业,L
000410.SZ,000410,沈阳机床,辽宁,机床制造,主板,SYJC,19960718,国务院国有资产监督管理委员会,中央企业,L
000411.SZ,000411,英特集团,浙江,医药商业,主板,YTJT,19960716,浙江省人民政府国有资产监督管理委员会,地方国有企业,L
000415.SZ,000415,渤海租赁,新疆,多元金融,主板,BHZL,19960716,无实际控制人,其他,L
000417.SZ,000417,合百集团,安徽,百货,主板,HBJT,19960812,合肥市人民政府国有资产监督管理委员会,地方国有企业,L
000419.SZ,000419,通程控股,湖南,百货,主板,TCKG,19960816,长沙市人民政府国有资产监督管理委员会,地方国有企业,L
000420.SZ,000420,吉林化纤,吉林,化纤,主板,JLHX,19960802,吉林省吉林市人民政府国有资产监督管理委员会,地方国有企业,L
000421.SZ,000421,南京公用,江苏,供气供热,主板,NJGY,19960806,南京市人民政府国有资产监督管理委员会,地方国有企业,L
000422.SZ,000422,湖北宜化,湖北,农药化肥,主板,HBYH,19960815,宜昌市人民政府国有资产监督管理委员会,地方国有企业,L
000423.SZ,000423,东阿阿胶,山东,中成药,主板,DEEJ,19960729,国务院国有资产监督管理委员会,中央企业,L
000425.SZ,000425,徐工机械,江苏,工程机械,主板,XGJX,19960828,徐州市人民政府,地方国有企业,L
000426.SZ,000426,兴业银锡,内蒙,铅锌,主板,XYYX,19960828,吉兴业,民营企业,L
000428.SZ,000428,华天酒店,湖南,酒店餐饮,主板,HTJD,19960808,湖南省人民政府国有资产监督管理委员会,地方国有企业,L
000429.SZ,000429,粤高速Ａ,广东,路桥,主板,YGSA,19980220,广东省人民政府国有资产监督管理委员会,地方国有企业,L
000430.SZ,000430,*ST张股,湖南,旅游景点,主板,*STZG,19960829,张家界市人民政府国有资产监督管理委员会,地方国有企业,L
000488.SZ,000488,ST晨鸣,山东,造纸,主板,STCM,20001120,寿光市地方金融监督管理局(寿光市国有资产监督管理局),地方国有企业,L
000498.SZ,000498,山东路桥,山东,建筑工程,主板,SDLQ,19970609,山东省人民政府国有资产监督管理委员会,地方国有企业,L
000501.SZ,000501,武商集团,湖北,百货,主板,WSJT,19921120,武汉市人民政府国有资产监督管理委员会,地方国有企业,L
000503.SZ,000503,国新健康,山东,软件服务,主板,GXJK,19921130,国务院国有资产监督管理委员会,中央企业,L
000504.SZ,000504,*ST生物,湖南,医疗保健,主板,*STSW,19921208,湖南省人民政府,地方国有企业,L
000505.SZ,000505,京粮控股,海南,食品,主板,JLKG,19921221,北京市人民政府国有资产监督管理委员会,地方国有企业,L
000506.SZ,000506,招金黄金,山东,黄金,主板,ZJHJ,19930312,招远市人民政府,地方国有企业,L
000507.SZ,000507,珠海港,广东,新型电力,主板,ZHG,19930326,珠海市人民政府国有资产监督管理委员会,地方国有企业,L
000509.SZ,000509,华塑控股,四川,元器件,主板,HSKG,19930507,湖北省人民政府,地方国有企业,L
000510.SZ,000510,新金路,四川,化工原料,主板,XJL,19930507,刘江东,民营企业,L
000513.SZ,000513,丽珠集团,广东,化学制药,主板,LZJT,19931028,朱保国,民营企业,L
000514.SZ,000514,渝开发,重庆,区域地产,主板,YKF,19930712,重庆市国有资产监督管理委员会,地方国有企业,L
000516.SZ,000516,国际医学,陕西,医疗保健,主板,GJYX,19930809,刘建申,民营企业,L
000517.SZ,000517,荣安地产,浙江,区域地产,主板,RADC,19930806,王久芳,民营企业,L
000518.SZ,000518,*ST四环,江苏,生物制药,主板,*STSH,19930908,邱为碧,民营企业,L
000519.SZ,000519,中兵红箭,湖南,专用机械,主板,ZBHJ,19931008,国务院国有资产监督管理委员会,中央企业,L
000520.SZ,000520,凤凰航运,湖北,水运,主板,FHHY,19931025,李建明,民营企业,L
000521.SZ,000521,长虹美菱,安徽,家用电器,主板,CHML,19931018,绵阳市国有资产监督管理委员会,地方国有企业,L
000523.SZ,000523,红棉股份,广东,食品,主板,HMGF,19931108,广州市人民政府国有资产监督管理委员会,地方国有企业,L
000524.SZ,000524,岭南控股,广东,旅游服务,主板,LNKG,19931118,广州市人民政府国有资产监督管理委员会,地方国有企业,L
000525.SZ,000525,红太阳,江苏,农药化肥,主板,HTY,19931028,曲靖高新技术产业开发区管理委员会,地方国有企业,L
000526.SZ,000526,学大教育,福建,文教休闲,主板,XDJY,19931101,金鑫,民营企业,L
000528.SZ,000528,柳工,广西,工程机械,主板,LG,19931118,广西壮族自治区人民政府国有资产监督管理委员会,地方国有企业,L
000529.SZ,000529,广弘控股,广东,食品,主板,GHKG,19931118,广东省出版集团有限公司,地方国有企业,L
000530.SZ,000530,冰山冷热,辽宁,机械基件,主板,BSLR,19931208,无实际控制人,其他,L
000531.SZ,000531,穗恒运Ａ,广东,火力发电,主板,SHYA,19940106,广州开发区管理委员会,地方国有企业,L
000532.SZ,000532,华金资本,广东,多元金融,主板,HJZB,19940103,珠海市人民政府国有资产监督管理委员会,地方国有企业,L
000533.SZ,000533,顺钠股份,广东,电气设备,主板,SNGF,19940103,无实际控制人,其他,L
000534.SZ,000534,万泽股份,广东,生物制药,主板,WZGF,19940110,林伟光,民营企业,L
000536.SZ,000536,华映科技,福建,元器件,主板,HYKJ,19931126,福建省人民政府国有资产监督管理委员会,地方国有企业,L
000537.SZ,000537,绿发电力,天津,新型电力,主板,LFDL,19931210,国务院国有资产监督管理委员会,中央企业,L
000538.SZ,000538,云南白药,云南,中成药,主板,YNBY,19931215,无实际控制人,其他,L
000539.SZ,000539,粤电力Ａ,广东,火力发电,主板,YDLA,19931126,广东省人民政府国有资产监督管理委员会,地方国有企业,L
000541.SZ,000541,佛山照明,广东,家用电器,主板,FSZM,19931123,广东省人民政府国有资产监督管理委员会,地方国有企业,L
000543.SZ,000543,皖能电力,安徽,火力发电,主板,WNDL,19931220,安徽省人民政府国有资产监督管理委员会,地方国有企业,L
000544.SZ,000544,中原环保,河南,环境保护,主板,ZYHB,19931208,郑州市人民政府,地方国有企业,L
000545.SZ,000545,金浦钛业,吉林,化工原料,主板,JPTY,19931215,郭金东,民营企业,L
000546.SZ,000546,金圆股份,吉林,环境保护,主板,JYGF,19931215,赵璧生,民营企业,L
000547.SZ,000547,航天发展,福建,通信设备,主板,HTFZ,19931130,国务院国有资产监督管理委员会,中央企业,L
000548.SZ,000548,湖南投资,湖南,路桥,主板,HNTZ,19931220,长沙市人民政府,地方国有企业,L
000550.SZ,000550,江铃汽车,江西,汽车整车,主板,JLQC,19931201,江西省南昌市人民政府国有资产监督管理委员会,地方国有企业,L
000551.SZ,000551,创元科技,江苏,专用机械,主板,CYKJ,19940106,苏州市人民政府国有资产监督管理委员会,地方国有企业,L
000552.SZ,000552,甘肃能化,甘肃,煤炭开采,主板,GSNH,19940106,甘肃省人民政府国有资产监督管理委员会,地方国有企业,L
000553.SZ,000553,安道麦A,湖北,农药化肥,主板,ADMA,19931203,国务院国有资产监督管理委员会,中央企业,L
000554.SZ,000554,泰山石油,山东,石油贸易,主板,TSSY,19931215,国务院国有资产监督管理委员会,中央企业,L
000555.SZ,000555,神州信息,深圳,软件服务,主板,SZXX,19940408,无实际控制人,其他,L
000557.SZ,000557,西部创业,宁夏,铁路,主板,XBCY,19940617,宁夏回族自治区人民政府,地方国有企业,L
000558.SZ,000558,天府文旅,四川,旅游景点,主板,TFWL,19940509,成都市国有资产监督管理委员会,地方国有企业,L
000559.SZ,000559,万向钱潮,浙江,汽车配件,主板,WXQC,19940110,鲁伟鼎,民营企业,L
000560.SZ,000560,我爱我家,云南,房产服务,主板,WAWJ,19940202,谢勇,民营企业,L
000561.SZ,000561,烽火电子,陕西,通信设备,主板,FHDZ,19940509,陕西省人民政府国有资产监督管理委员会,地方国有企业,L
000563.SZ,000563,陕国投Ａ,陕西,多元金融,主板,SGTA,19940110,陕西省人民政府国有资产监督管理委员会,地方国有企业,L
000564.SZ,000564,供销大集,陕西,百货,主板,GXDJ,19940110,中华全国供销合作总社,中央企业,L
